"pos","last","first","numfirstlast","firstlast","index","player.id","pC","pL","pR","pD","pG"
"D","Edler","Alexander","23 ALEXANDER EDLER","Alexander Edler",169,169,0,0,0,2,0
"D","Hamhuis","Dan","2 DAN HAMHUIS","Dan Hamhuis",170,170,0,0,0,1,0
"R","Hansen","Jannik","36 JANNIK HANSEN","Jannik Hansen",171,171,0,0,2,0,0
"L","Higgins","Chris","20 CHRIS HIGGINS","Chris Higgins",172,172,0,2,0,0,0
"R","Kassian","Zack","9 ZACK KASSIAN","Zack Kassian",173,173,0,0,1,0,0
"G","Lack","Eddie","31 EDDIE LACK","Eddie Lack",174,174,0,0,0,0,2
"C","Matthias","Shawn","27 SHAWN MATTHIAS","Shawn Matthias",175,175,2,0,0,0,0
"G","Miller","Ryan","30 RYAN MILLER","Ryan Miller",176,176,0,0,0,0,2
"R","Richardson","Brad","15 BRAD RICHARDSON","Brad Richardson",177,177,0,0,2,0,0
"D","Sbisa","Luca","5 LUCA SBISA","Luca Sbisa",178,178,0,0,0,2,0
"L","Sedin","Daniel","22 DANIEL SEDIN","Daniel Sedin",179,179,0,2,0,0,0
"C","Sedin","Henrik","33 HENRIK SEDIN","Henrik Sedin",180,180,2,0,0,0,0
"D","Tanev","Christopher","8 CHRISTOPHER TANEV","Christopher Tanev",181,181,0,0,0,2,0
